96434,1607,H,Banquet Preparations 2
96432,1607,G,Banquet Preparations 1
96430,1607,F,Robot on the Board 2
96428,1607,E,Robot on the Board 1
96426,1607,D,Blue-Red Permutation
96424,1607,C,Minimum Extraction
96422,1607,B,Odd Grasshopper
96420,1607,A,Linear Keyboard
96370,1606,F,Tree Queries
96368,1606,E,Arena
96366,1606,D,Red-Blue Matrix
96364,1606,C,Banknotes
96362,1606,B,Update Files
96360,1606,A,AB Balance
96310,1605,F,PalindORme
96308,1605,E,Array Equalizer
96306,1605,D,Treelabeling
96304,1605,C,Dominant Character
96302,1605,B,Reverse Sort
96300,1605,A,A.M. Deviation
96242,1604,B,XOR Specia-LIS-t
96240,1604,A,Era
96190,1603,F,"October 18, 2017"
96188,1603,E,A Perfect Problem
96186,1603,D,Artistic Partition
96184,1603,C,Extreme Extension
96182,1603,B,Moderate Modular Mode
96180,1603,A,Di-visible Confusion
96122,1602,B,Divine Array
96120,1602,A,Two Subsequences
96070,1601,F,Two Sorts
96068,1601,E,Phys Ed Online
96066,1601,D,Difficult Mountain
96064,1601,C,Optimal Insertion
96062,1601,B,Frog Traveler
96060,1601,A,Array Elimination
96018,1600,J,Robot Factory
96010,1600,F,Party Organization
96008,1600,E,Array Game
95958,1599,J,Bob's Beautiful Array
95956,1599,I,Desert
95954,1599,H,Hidden Fortress
95952,1599,G,Shortest path
95950,1599,F,Mars
95948,1599,E,Two Arrays
95946,1599,D,Bubble Popping
95944,1599,C,Bubble Strike
95942,1599,B,Restaurant Game
95940,1599,A,Weights
95892,1598,G,The Sum of Good Numbers
95890,1598,F,RBS
95888,1598,E,Staircases
95886,1598,D,Training Session
95884,1598,C,Delete Two Elements
95882,1598,B,Groups
95880,1598,A,Computer Game
95650,1594,F,Ideal Farm
95649,1594,E2,Rubik's Cube Coloring (hard version)
95648,1594,E1,Rubik's Cube Coloring (easy version)
95646,1594,D,The Number of Imposters
95644,1594,C,Make Them Equal
95642,1594,B,Special Numbers
95640,1594,A,Consecutive Sum Riddle
95592,1593,G,Changing Brackets
95590,1593,F,Red-Black Number
95588,1593,E,Gardener and Tree
95587,1593,D2,Half of Same
95586,1593,D1,All are Same
95584,1593,C,Save More Mice
95582,1593,B,Make it Divisible by 25
95580,1593,A,Elections
95531,1592,F2,Alice and Recoloring 2
95530,1592,F1,Alice and Recoloring 1
95528,1592,E,Bored Bakry
95526,1592,D,Hemose in ICPC ?
95524,1592,C,Bakry and Partitioning
95522,1592,B,Hemose Shopping
95520,1592,A,Gamer Hemose
95290,1588,F,Jumping Through the Array
95176,1586,I,Omkar and Mosaic
95052,1584,G,Eligible Segments
95050,1584,F,Strange LCS
95048,1584,E,Game with Stones
95046,1584,D,Guess the Permutation
95044,1584,C,Two Arrays
95042,1584,B,Coloring Rectangles
95040,1584,A,Mathematical Addition
94994,1583,H,Omkar and Tours
94992,1583,G,Omkar and Time Travel
94990,1583,F,Defender of Childhood Dreams
94988,1583,E,Moment of Bloom
94986,1583,D,Omkar and the Meaning of Life
94984,1583,C,Omkar and Determination
94982,1583,B,Omkar and Heavenly Tree
94980,1583,A,Windblume Ode
94932,1582,G,Kuzya and Homework
94931,1582,F2,Korney Korneevich and XOR (hard version)
94930,1582,F1,Korney Korneevich and XOR (easy version)
94928,1582,E,Pchelyonok and Segments
94926,1582,D,"Vupsen, Pupsen and 0"
94924,1582,C,Grandma Capa Knits a Scarf
94922,1582,B,Luntik and Subsequences
94920,1582,A,Luntik and Concerts
94862,1581,B,Diameter of Graph
94860,1581,A,CQXYM Count Permutations
94810,1580,F,Problems for Codeforces
94808,1580,E,Railway Construction
94806,1580,D,Subsequence
94804,1580,C,Train Maintenance
94802,1580,B,Mathematics Curriculum
94800,1580,A,Portal
94752,1579,G,Minimal Coverage
94750,1579,F,Array Stabilization (AND version)
94749,1579,E2,Array Optimization by Deque
94748,1579,E1,Permutation Minimization by Deque
94746,1579,D,Productive Meeting
94744,1579,C,Ticks
94742,1579,B,Shifting Sort
94740,1579,A,Casimir's String Solitaire
94704,1578,M,The Mind
94702,1578,L,Labyrinth
94700,1578,K,Kingdom of Islands
94698,1578,J,Just Kingdom
94696,1578,I,Interactive Rays
94694,1578,H,Higher Order Functions
94692,1578,G,Game of Chance
94690,1578,F,Framing Pictures
94688,1578,E,Easy Scheduling
94686,1578,D,Dragon Curve
94684,1578,C,Cactus Lady and her Cing
94682,1578,B,Building Forest Trails
94680,1578,A,Anti-Tetris
94560,1576,A,Communication Routing Challenge
94524,1575,M,Managing Telephone Poles
94522,1575,L,Longest Array Deconstruction
94520,1575,K,Knitting Batik
94518,1575,J,Jeopardy of Dropped Balls
94516,1575,I,Illusions of the Desert
94514,1575,H,Holiday Wall Ornaments
94512,1575,G,GCD Festival
94510,1575,F,Finding Expected Value
94508,1575,E,Eye-Pleasing City Park Tour
94506,1575,D,Divisible by Twenty-Five
94504,1575,C,Cyclic Sum
94502,1575,B,Building an Amusement Park
94500,1575,A,Another Sorting Problem
94450,1574,F,Occurrences
94448,1574,E,Coloring
94446,1574,D,The Strongest Build
94444,1574,C,Slay the Dragon
94442,1574,B,Combinatorics Homework
94440,1574,A,Regular Bracket Sequences
94382,1573,B,Swaps
94380,1573,A,Countdown
94330,1572,F,Stations
94328,1572,E,Polygon
94326,1572,D,Bridge Club
94324,1572,C,Paint
94322,1572,B,Xor of 3
94320,1572,A,Book
94278,1571,J,Two Railroads
94276,1571,I,Physical Examination
94274,1571,H,Laser Beams
94272,1571,G,A Battle Against a Dragon
94270,1571,F,Kotlinforces
94268,1571,E,Fix the String
94266,1571,D,Sweepstake
94264,1571,C,Rhyme
94262,1571,B,Epic Novel
94260,1571,A,Sequence of Comparisons
94216,1570,I,Minimum Difference
94214,1570,H,Chainword
94212,1570,G,XOR Guessing
94210,1570,F,Square Filling
94208,1570,E,Erasing Zeroes
94206,1570,D,Reachable Numbers
94204,1570,C,Shooting
94202,1570,B,Yellow Cards
94200,1570,A,A+B (Trial Problem)
94150,1569,F,Palindromic Hamiltonian Path
94148,1569,E,Playoff Restoration
94146,1569,D,Inconvenient Pairs
94144,1569,C,Jury Meeting
94142,1569,B,Chess Tournament
94140,1569,A,Balanced Substring
94030,1567,F,One-Four Overload
94028,1567,E,Non-Decreasing Dilemma
94026,1567,D,Expression Evaluation Error
94024,1567,C,Carrying Conundrum
94022,1567,B,MEXor Mixup
94020,1567,A,Domino Disaster
93974,1566,H,Xor-quiz
93972,1566,G,Four Vertices
93970,1566,F,Points Movement
93968,1566,E,Buds Re-hanging
93967,1566,D2,Seating Arrangements (hard version) 
93966,1566,D1,Seating Arrangements (easy version) 
93964,1566,C,MAX-MEX Cut
93962,1566,B,MIN-MEX Cut
93960,1566,A,Median Maximization
93730,1562,F,Tubular Bells
93728,1562,E,Rescue Niwen!
93727,1562,D2,Two Hundred Twenty One (hard version)
93726,1562,D1,Two Hundred Twenty One (easy version)
93724,1562,C,Rings
93722,1562,B,Scenes From a Memory
93720,1562,A,The Miracle and the Sleeper
93666,1561,D1,Up the Strip (simplified version)
93664,1561,C,Deep Down Below
93660,1561,A,Simply Strange Sort
93611,1560,F2,Nearest Beautiful Number (hard version)
93610,1560,F1,Nearest Beautiful Number (easy version)
93608,1560,E,Polycarp and String Transformation
93606,1560,D,Make a Power of Two
93604,1560,C,Infinity Table
93602,1560,B,Who's Opposite?
93600,1560,A,Dislike of Threes
93548,1559,E,Mocha and Stars
93547,1559,D2,Mocha and Diana (Hard Version)
93546,1559,D1,Mocha and Diana (Easy Version)
93544,1559,C,Mocha and Hiking
93542,1559,B,Mocha and Red and Blue
93540,1559,A,Mocha and Math
93490,1558,F,Strange Sort
93488,1558,E,Down Below
93486,1558,D,Top-Notch Insertions
93484,1558,C,Bottom-Tier Reversals
93482,1558,B,Up the Strip
93480,1558,A,Charmed by the Game
93428,1557,E,Assiut Chess
93426,1557,D,Ezzat and Grid
93424,1557,C,Moamen and XOR
93422,1557,B,Moamen and k-subarrays
93420,1557,A,Ezzat and Two Subsequences
93374,1556,H,DIY Tree
93372,1556,G,Gates to Another World
93370,1556,F,Sports Betting
93368,1556,E,Equilibrium
93366,1556,D,Take a Guess
93364,1556,C,Compressed Bracket Sequence
93362,1556,B,Take Your Places!
93360,1556,A,A Variety of Operations
93310,1555,F,Good Graph
93308,1555,E,Boring Segments
93306,1555,D,Say No to Palindromes
93304,1555,C,Coin Rows
93302,1555,B,Two Tables
93300,1555,A,PizzaForces
93248,1554,E,You
93246,1554,D,Diane
93244,1554,C,Mikasa
93242,1554,B,Cobb
93240,1554,A,Cherry
93196,1553,I,Stairs
93194,1553,H,XOR and Distance
93192,1553,G,Common Divisor Graph
93190,1553,F,Pairwise Modulo
93188,1553,E,Permutation Shift
93186,1553,D,Backspace
93184,1553,C,Penalty
93182,1553,B,Reverse String
93180,1553,A,Digits Sum
93136,1552,I,Organizing a Music Festival
93134,1552,H,Guess the Perimeter
93132,1552,G,A Serious Referee
93130,1552,F,Telepanting
93128,1552,E,Colors and Intervals
93126,1552,D,Array Differentiation
93124,1552,C,Maximize the Intersections
93122,1552,B,Running for Gold
93120,1552,A,Subsequence Permutation
93070,1551,F,Equidistant Vertices
93068,1551,E,Fixed Points
93067,1551,D2,Domino (hard version)
93066,1551,D1,Domino (easy version)
93064,1551,C,Interesting Story
93063,1551,B2,Wonderful Coloring - 2
93062,1551,B1,Wonderful Coloring - 1
93060,1551,A,Polycarp and Coins
93010,1550,F,Jumping Around
93008,1550,E,Stringforces
93006,1550,D,Excellent Arrays
93004,1550,C,Manhattan Subarrays
93002,1550,B,Maximum Cost Deletion
93000,1550,A,Find The Array
92942,1549,B,Gregor and the Pawn Game
92940,1549,A,Gregor and Cryptography
92888,1548,E,Gregor and the Two Painters
92887,1548,D2,Gregor and the Odd Cows (Hard)
